,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group,home_pk_score,away_pk_score
0,2023/08/26,1,1,18:00,浦和駒場スタジアム,浦和,2,2,千葉L,試合終了,A,,
1,2023/08/26,1,2,18:00,味の素フィールド西が丘,東京NB,2,1,AC長野,試合終了,B,,
2,2023/08/26,1,3,18:00,相模原ギオンスタジアム,N相模原,0,2,Ｃ大阪,試合終了,A,,
3,2023/08/26,1,4,18:30,サンフレッチェビレッジ 広島第一球技場,S広島R,4,1,マイ仙台,試合終了,A,,
4,2023/08/27,1,5,18:02,新潟市陸上競技場,新潟L,4,1,EL埼玉,試合終了,B,,
5,2023/08/27,1,6,18:03,NACK5スタジアム大宮,大宮V,4,1,I神戸,試合終了,B,,
6,2023/09/02,2,1,18:00,ユアテックスタジアム仙台,マイ仙台,0,1,千葉L,試合終了,A,,
7,2023/09/02,2,2,18:00,熊谷スポーツ文化公園陸上競技場,EL埼玉,2,0,大宮V,試合終了,B,,
8,2023/09/02,2,3,18:00,相模原ギオンスタジアム,N相模原,0,4,浦和,試合終了,A,,
9,2023/09/03,2,4,18:00,長野Uスタジアム,AC長野,3,1,I神戸,試合終了,B,,
10,2023/09/03,2,5,18:00,ヨドコウ桜スタジアム,Ｃ大阪,1,2,S広島R,試合終了,A,,
11,2023/09/03,2,6,19:01,味の素フィールド西が丘,東京NB,3,2,新潟L,試合終了,B,,
12,2023/09/09,3,1,17:00,デンカビッグスワンスタジアム,新潟L,2,2,AC長野,試合終了,B,,
13,2023/09/09,3,2,18:00,ユアテックスタジアム仙台,マイ仙台,0,3,浦和,試合終了,A,,
14,2023/09/09,3,3,18:00,サンフレッチェビレッジ 広島第一球技場,S広島R,1,0,N相模原,試合終了,A,,
15,2023/09/10,3,4,16:00,ノエビアスタジアム神戸,I神戸,1,0,EL埼玉,試合終了,B,,
16,2023/09/10,3,5,18:00,フクダ電子アリーナ,千葉L,0,2,Ｃ大阪,試合終了,A,,
17,2023/09/10,3,6,18:03,NACK5スタジアム大宮,大宮V,1,1,東京NB,試合終了,B,,
18,2023/09/16,4,1,15:00,ヨドコウ桜スタジアム,Ｃ大阪,3,1,マイ仙台,試合終了,A,,
19,2023/09/17,4,2,15:00,浦和駒場スタジアム,浦和,1,2,S広島R,試合終了,A,,
20,2023/09/17,4,3,15:00,相模原ギオンスタジアム,N相模原,1,1,千葉L,試合終了,A,,
21,2023/09/17,4,4,16:00,デンカビッグスワンスタジアム,新潟L,0,0,大宮V,試合終了,B,,
22,2023/09/17,4,5,18:00,味の素フィールド西が丘,東京NB,0,3,I神戸,試合終了,B,,
23,2023/09/17,4,6,18:00,長野Uスタジアム,AC長野,0,0,EL埼玉,試合終了,B,,
24,2023/09/30,5,1,13:00,ゼットエーオリプリスタジアム,千葉L,1,1,S広島R,試合終了,A,,
25,2023/10/01,5,2,12:00,ヨドコウ桜スタジアム,Ｃ大阪,0,0,浦和,試合終了,A,,
26,2023/10/01,5,3,13:00,ユアテックスタジアム仙台,マイ仙台,1,1,N相模原,試合終了,A,,
27,2023/10/01,5,4,14:03,NACK5スタジアム大宮,大宮V,1,0,AC長野,試合終了,B,,
28,2023/10/01,5,5,15:00,川越運動公園陸上競技場,EL埼玉,5,2,東京NB,試合終了,B,,
29,2023/10/01,5,6,15:00,ヨドコウ桜スタジアム,I神戸,0,1,新潟L,試合終了,B,,
